case_id,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0141,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0142,missing_property,IfcSlab,low,True,IfcSlab is missing 'PitchAngle' in Pset_SlabCommon,Add property 'PitchAngle' with default value to Pset_SlabCommon,PitchAngle is required by IFC schema for IfcSlab. A safe default is applied.
SC_0143,missing_property,IfcWall,low,True,IfcWall is missing 'AcousticRating' in Pset_WallCommon,Add property 'AcousticRating' with default value to Pset_WallCommon,AcousticRating is required by IFC schema for IfcWall. A safe default is applied.
SC_0144,invalid_reference,IfcBeam,medium,False,IfcBeam references a IfcBeamType that does not exist in the model,Remove broken type reference or create missing IfcBeamType,Orphan type references break downstream tools.
SC_0145,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Elevator Shaft' assigned to 'Basement 1' but elevation matches 'Basement 2',Reassign space from 'Basement 1' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0146,geometry_clash,IfcWindow,high,False,Bounding-box clash between IfcWindow 'Window_249' and IfcColumn 'Column_570' (overlap 0.17m),Flag clash for manual resolution between Window_249 and Column_570,IfcWindow-IfcColumn intersection detected. Requires design review.
SC_0147,missing_material,IfcSlab,medium,False,IfcSlab has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0148,geometry_clash,IfcDoor,medium,False,Bounding-box clash between IfcDoor 'Door_303' and IfcWall 'Wall_544' (overlap 0.09m),Flag clash for manual resolution between Door_303 and Wall_544,IfcDoor-IfcWall intersection detected. Requires design review.
SC_0149,missing_property,IfcStair,medium,True,IfcStair is missing 'IsExternal' in Pset_StairCommon,Add property 'IsExternal' with default value to Pset_StairCommon,IsExternal is required by IFC schema for IfcStair. A safe default is applied.
SC_0150,naming_inconsistency,IfcPlate,low,True,IfcPlate has empty Name attribute,Set Name to 'Plate_945',"All elements need unique, meaningful names for schedules and coordination."
SC_0151,missing_property,IfcRamp,medium,True,IfcRamp is missing 'IsExternal' in Pset_RampCommon,Add property 'IsExternal' with default value to Pset_RampCommon,IsExternal is required by IFC schema for IfcRamp. A safe default is applied.
SC_0152,naming_inconsistency,IfcMember,low,True,IfcMember has empty Name attribute,Set Name to 'Member_931',"All elements need unique, meaningful names for schedules and coordination."
SC_0153,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_495' and IfcWall 'Wall_908' (overlap 0.2m),Flag clash for manual resolution between Wall_495 and Wall_908,IfcWall-IfcWall intersection detected. Requires design review.
SC_0154,missing_property,IfcWindow,low,True,IfcWindow is missing 'GlazingAreaFraction' in Pset_WindowCommon,Add property 'GlazingAreaFraction' with default value to Pset_WindowCommon,GlazingAreaFraction is required by IFC schema for IfcWindow. A safe default is applied.
SC_0155,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_316' and IfcDoor 'Door_572' (overlap 0.2m),Flag clash for manual resolution between Wall_316 and Door_572,IfcWall-IfcDoor intersection detected. Requires design review.
SC_0156,invalid_reference,IfcSlab,medium,False,IfcSlab references a IfcSlabType that does not exist in the model,Remove broken type reference or create missing IfcSlabType,Orphan type references break downstream tools.
SC_0157,naming_inconsistency,IfcSlab,low,True,Multiple IfcSlab entities share name 'Slab_001',Set Name to 'Slab_480',"All elements need unique, meaningful names for schedules and coordination."
SC_0158,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0159,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_167' and IfcBeam 'Beam_693' (overlap 0.3m),Flag clash for manual resolution between Wall_167 and Beam_693,IfcWall-IfcBeam intersection detected. Requires design review.
SC_0160,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Kitchen' not aggregated into any storey,Aggregate space into storey 'Penthouse',Spaces must belong to a storey for room-based analysis.
SC_0161,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Kitchen' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0162,naming_inconsistency,IfcDoor,low,True,IfcDoor has None Name attribute,Set Name to 'Door_180',"All elements need unique, meaningful names for schedules and coordination."
SC_0163,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_977' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0164,missing_property,IfcWall,low,True,IfcWall is missing 'SurfaceSpreadOfFlame' in Pset_WallCommon,Add property 'SurfaceSpreadOfFlame' with default value to Pset_WallCommon,SurfaceSpreadOfFlame is required by IFC schema for IfcWall. A safe default is applied.
SC_0165,geometry_clash,IfcWindow,high,False,Bounding-box clash between IfcWindow 'Window_251' and IfcColumn 'Column_586' (overlap 0.18m),Flag clash for manual resolution between Window_251 and Column_586,IfcWindow-IfcColumn intersection detected. Requires design review.
SC_0166,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_609' at z=21.0m assigned to 'Penthouse' instead of 'Level 05',Reassign from 'Penthouse' to 'Level 05',Element placement doesn't match assigned storey elevation.
SC_0167,invalid_reference,IfcStair,medium,False,IfcStair references a IfcStairType that does not exist in the model,Remove broken type reference or create missing IfcStairType,Orphan type references break downstream tools.
SC_0168,geometry_clash,IfcSlab,high,False,Bounding-box clash between IfcSlab 'Slab_279' and IfcColumn 'Column_519' (overlap 0.07m),Flag clash for manual resolution between Slab_279 and Column_519,IfcSlab-IfcColumn intersection detected. Requires design review.
SC_0169,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Stairwell' assigned to 'Basement 2' but elevation matches 'Level 05',Reassign space from 'Basement 2' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0170,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_648' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0171,naming_inconsistency,IfcWindow,low,True,IfcWindow has empty Name attribute,Set Name to 'Window_268',"All elements need unique, meaningful names for schedules and coordination."
SC_0172,missing_property,IfcRoof,low,True,IfcRoof is missing 'ProjectedArea' in Pset_RoofCommon,Add property 'ProjectedArea' with default value to Pset_RoofCommon,ProjectedArea is required by IFC schema for IfcRoof. A safe default is applied.
SC_0173,missing_material,IfcFooting,medium,False,IfcFooting has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0174,missing_property,IfcColumn,low,True,IfcColumn is missing 'Slope' in Pset_ColumnCommon,Add property 'Slope' with default value to Pset_ColumnCommon,Slope is required by IFC schema for IfcColumn. A safe default is applied.
SC_0175,naming_inconsistency,IfcRoof,low,True,IfcRoof has empty Name attribute,Set Name to 'Roof_894',"All elements need unique, meaningful names for schedules and coordination."
SC_0176,missing_property,IfcRamp,medium,True,IfcRamp is missing 'FireRating' in Pset_RampCommon,Add property 'FireRating' with default value to Pset_RampCommon,FireRating is required by IFC schema for IfcRamp. A safe default is applied.
SC_0177,missing_property,IfcSlab,medium,True,IfcSlab is missing 'IsExternal' in Pset_SlabCommon,Add property 'IsExternal' with default value to Pset_SlabCommon,IsExternal is required by IFC schema for IfcSlab. A safe default is applied.
SC_0178,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Storage' not aggregated into any storey,Aggregate space into storey 'Level 03',Spaces must belong to a storey for room-based analysis.
SC_0179,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Mechanical Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0180,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_114' and IfcWall 'Wall_729' (overlap 0.3m),Flag clash for manual resolution between Wall_114 and Wall_729,IfcWall-IfcWall intersection detected. Requires design review.
SC_0181,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Loading Dock' assigned to 'Level 02' but elevation matches 'Level 05',Reassign space from 'Level 02' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0182,missing_property,IfcBeam,medium,True,IfcBeam is missing 'FireRating' in Pset_BeamCommon,Add property 'FireRating' with default value to Pset_BeamCommon,FireRating is required by IFC schema for IfcBeam. A safe default is applied.
SC_0183,geometry_clash,IfcBeam,medium,False,Bounding-box clash between IfcBeam 'Beam_415' and IfcBeam 'Beam_864' (overlap 0.3m),Flag clash for manual resolution between Beam_415 and Beam_864,IfcBeam-IfcBeam intersection detected. Requires design review.
SC_0184,missing_material,IfcSlab,medium,False,IfcSlab has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Gypsum),Material needed for quantity takeoff and analysis. Suggested: Gypsum.
SC_0185,missing_property,IfcRailing,low,True,IfcRailing is missing 'Reference' in Pset_RailingCommon,Add property 'Reference' with default value to Pset_RailingCommon,Reference is required by IFC schema for IfcRailing. A safe default is applied.
SC_0186,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Roof Level' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0187,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_732' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 01',Every physical element must be spatially contained for coordination.
SC_0188,naming_inconsistency,IfcBeam,low,True,IfcBeam has empty Name attribute,Set Name to 'Beam_773',"All elements need unique, meaningful names for schedules and coordination."
SC_0189,wrong_level_assignment,IfcColumn,medium,False,IfcColumn 'Column_827' at z=0.0m assigned to 'Ground Floor' instead of 'Basement 2',Reassign from 'Ground Floor' to 'Basement 2',Element placement doesn't match assigned storey elevation.
SC_0190,geometry_clash,IfcBeam,high,False,Bounding-box clash between IfcBeam 'Beam_233' and IfcColumn 'Column_987' (overlap 0.29m),Flag clash for manual resolution between Beam_233 and Column_987,IfcBeam-IfcColumn intersection detected. Requires design review.
SC_0191,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Bathroom' assigned to 'Roof Level' but elevation matches 'Basement 1',Reassign space from 'Roof Level' to 'Basement 1' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0192,missing_property,IfcWindow,low,True,IfcWindow is missing 'ThermalTransmittance' in Pset_WindowCommon,Add property 'ThermalTransmittance' with default value to Pset_WindowCommon,ThermalTransmittance is required by IFC schema for IfcWindow. A safe default is applied.
SC_0193,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_482' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 2',Every physical element must be spatially contained for coordination.
SC_0194,naming_inconsistency,IfcFooting,low,True,Multiple IfcFooting entities share name 'Footing_001',Set Name to 'Footing_996',"All elements need unique, meaningful names for schedules and coordination."
SC_0195,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_075' and IfcWall 'Wall_865' (overlap 0.21m),Flag clash for manual resolution between Slab_075 and Wall_865,IfcSlab-IfcWall intersection detected. Requires design review.
SC_0196,naming_inconsistency,IfcRailing,low,True,IfcRailing has None Name attribute,Set Name to 'Railing_784',"All elements need unique, meaningful names for schedules and coordination."
SC_0197,missing_property,IfcBeam,low,True,IfcBeam is missing 'Slope' in Pset_BeamCommon,Add property 'Slope' with default value to Pset_BeamCommon,Slope is required by IFC schema for IfcBeam. A safe default is applied.
SC_0198,naming_inconsistency,IfcStair,low,True,IfcStair has None Name attribute,Set Name to 'Stair_294',"All elements need unique, meaningful names for schedules and coordination."
SC_0199,invalid_reference,IfcSlab,low,True,IfcSlab has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0200,missing_property,IfcWindow,medium,True,IfcWindow is missing 'IsExternal' in Pset_WindowCommon,Add property 'IsExternal' with default value to Pset_WindowCommon,IsExternal is required by IFC schema for IfcWindow. A safe default is applied.
SC_0201,geometry_clash,IfcDoor,medium,False,Bounding-box clash between IfcDoor 'Door_301' and IfcWall 'Wall_559' (overlap 0.12m),Flag clash for manual resolution between Door_301 and Wall_559,IfcDoor-IfcWall intersection detected. Requires design review.
SC_0202,naming_inconsistency,IfcBeam,low,True,Multiple IfcBeam entities share name 'Beam_001',Set Name to 'Beam_154',"All elements need unique, meaningful names for schedules and coordination."
SC_0203,naming_inconsistency,IfcCurtainWall,low,True,IfcCurtainWall has None Name attribute,Set Name to 'CurtainWall_468',"All elements need unique, meaningful names for schedules and coordination."
SC_0204,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_328' and IfcBeam 'Beam_837' (overlap 0.15m),Flag clash for manual resolution between Slab_328 and Beam_837,IfcSlab-IfcBeam intersection detected. Requires design review.
SC_0205,missing_property,IfcStair,low,True,IfcStair is missing 'Reference' in Pset_StairCommon,Add property 'Reference' with default value to Pset_StairCommon,Reference is required by IFC schema for IfcStair. A safe default is applied.
SC_0206,naming_inconsistency,IfcSpace,medium,True,IfcSpace has empty Name attribute,Set Name to 'Space_526',"All elements need unique, meaningful names for schedules and coordination."
SC_0207,missing_material,IfcCurtainWall,medium,False,IfcCurtainWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0208,broken_spatial_containment,IfcWall,high,True,IfcWall 'Wall_523' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 01',Every physical element must be spatially contained for coordination.
SC_0209,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 04' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0210,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_742' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0211,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_610' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 02',Every physical element must be spatially contained for coordination.
SC_0212,geometry_clash,IfcBeam,medium,False,Bounding-box clash between IfcBeam 'Beam_265' and IfcBeam 'Beam_590' (overlap 0.21m),Flag clash for manual resolution between Beam_265 and Beam_590,IfcBeam-IfcBeam intersection detected. Requires design review.
SC_0213,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_398' and IfcDoor 'Door_916' (overlap 0.21m),Flag clash for manual resolution between Wall_398 and Door_916,IfcWall-IfcDoor intersection detected. Requires design review.
SC_0214,naming_inconsistency,IfcSpace,medium,True,IfcSpace has None Name attribute,Set Name to 'Space_328',"All elements need unique, meaningful names for schedules and coordination."
SC_0215,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_166' and IfcDoor 'Door_861' (overlap 0.25m),Flag clash for manual resolution between Wall_166 and Door_861,IfcWall-IfcDoor intersection detected. Requires design review.
SC_0216,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_347' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0217,missing_property,IfcRailing,medium,True,IfcRailing is missing 'IsExternal' in Pset_RailingCommon,Add property 'IsExternal' with default value to Pset_RailingCommon,IsExternal is required by IFC schema for IfcRailing. A safe default is applied.
SC_0218,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_361' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Roof Level',Every physical element must be spatially contained for coordination.
SC_0219,missing_property,IfcRoof,medium,True,IfcRoof is missing 'FireRating' in Pset_RoofCommon,Add property 'FireRating' with default value to Pset_RoofCommon,FireRating is required by IFC schema for IfcRoof. A safe default is applied.
SC_0220,missing_property,IfcColumn,high,True,IfcColumn is missing 'LoadBearing' in Pset_ColumnCommon,Add property 'LoadBearing' with default value to Pset_ColumnCommon,LoadBearing is required by IFC schema for IfcColumn. A safe default is applied.
SC_0221,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Parking' assigned to 'Level 03' but elevation matches 'Level 05',Reassign space from 'Level 03' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0222,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Ground Floor' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0223,missing_material,IfcFooting,medium,False,IfcFooting has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Timber),Material needed for quantity takeoff and analysis. Suggested: Timber.
SC_0224,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Meeting Room' assigned to 'Basement 2' but elevation matches 'Roof Level',Reassign space from 'Basement 2' to 'Roof Level' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0225,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Server Room' assigned to 'Basement 2' but elevation matches 'Ground Floor',Reassign space from 'Basement 2' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0226,missing_property,IfcDoor,low,True,IfcDoor is missing 'Reference' in Pset_DoorCommon,Add property 'Reference' with default value to Pset_DoorCommon,Reference is required by IFC schema for IfcDoor. A safe default is applied.
SC_0227,geometry_clash,IfcBeam,medium,False,Bounding-box clash between IfcBeam 'Beam_402' and IfcBeam 'Beam_606' (overlap 0.07m),Flag clash for manual resolution between Beam_402 and Beam_606,IfcBeam-IfcBeam intersection detected. Requires design review.
SC_0228,geometry_clash,IfcSlab,high,False,Bounding-box clash between IfcSlab 'Slab_337' and IfcColumn 'Column_841' (overlap 0.15m),Flag clash for manual resolution between Slab_337 and Column_841,IfcSlab-IfcColumn intersection detected. Requires design review.
SC_0229,invalid_reference,IfcDoor,low,True,IfcDoor has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0230,missing_property,IfcColumn,medium,True,IfcColumn is missing 'IsExternal' in Pset_ColumnCommon,Add property 'IsExternal' with default value to Pset_ColumnCommon,IsExternal is required by IFC schema for IfcColumn. A safe default is applied.
SC_0231,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Stairwell' assigned to 'Basement 2' but elevation matches 'Roof Level',Reassign space from 'Basement 2' to 'Roof Level' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0232,missing_property,IfcDoor,low,True,IfcDoor is missing 'SmokeStop' in Pset_DoorCommon,Add property 'SmokeStop' with default value to Pset_DoorCommon,SmokeStop is required by IFC schema for IfcDoor. A safe default is applied.
SC_0233,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Server Room' not aggregated into any storey,Aggregate space into storey 'Basement 2',Spaces must belong to a storey for room-based analysis.
SC_0234,missing_property,IfcDoor,low,True,IfcDoor is missing 'SecurityRating' in Pset_DoorCommon,Add property 'SecurityRating' with default value to Pset_DoorCommon,SecurityRating is required by IFC schema for IfcDoor. A safe default is applied.
SC_0235,naming_inconsistency,IfcWindow,low,True,Multiple IfcWindow entities share name 'Window_001',Set Name to 'Window_315',"All elements need unique, meaningful names for schedules and coordination."
SC_0236,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Mezzanine' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0237,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_228' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0238,missing_material,IfcBeam,medium,False,IfcBeam has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Timber),Material needed for quantity takeoff and analysis. Suggested: Timber.
SC_0239,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Mechanical Room' assigned to 'Mezzanine' but elevation matches 'Ground Floor',Reassign space from 'Mezzanine' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0240,missing_material,IfcMember,medium,False,IfcMember has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Precast Concrete),Material needed for quantity takeoff and analysis. Suggested: Precast Concrete.
SC_0241,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Lobby' assigned to 'Basement 1' but elevation matches 'Level 02',Reassign space from 'Basement 1' to 'Level 02' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0242,naming_inconsistency,IfcPile,low,True,IfcPile has empty Name attribute,Set Name to 'Pile_419',"All elements need unique, meaningful names for schedules and coordination."
SC_0243,naming_inconsistency,IfcBuildingStorey,medium,True,IfcBuildingStorey has None Name attribute,Set Name to 'BuildingStorey_702',"All elements need unique, meaningful names for schedules and coordination."
SC_0244,wrong_level_assignment,IfcColumn,medium,False,IfcColumn 'Column_381' at z=12.0m assigned to 'Level 03' instead of 'Level 02',Reassign from 'Level 03' to 'Level 02',Element placement doesn't match assigned storey elevation.
SC_0245,missing_material,IfcSlab,medium,False,IfcSlab has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0246,missing_property,IfcSlab,medium,True,IfcSlab is missing 'FireRating' in Pset_SlabCommon,Add property 'FireRating' with default value to Pset_SlabCommon,FireRating is required by IFC schema for IfcSlab. A safe default is applied.
SC_0247,geometry_clash,IfcSlab,medium,False,Bounding-box clash between IfcSlab 'Slab_493' and IfcWall 'Wall_885' (overlap 0.27m),Flag clash for manual resolution between Slab_493 and Wall_885,IfcSlab-IfcWall intersection detected. Requires design review.
SC_0248,broken_spatial_containment,IfcWall,high,True,IfcWall 'Wall_617' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Ground Floor',Every physical element must be spatially contained for coordination.
SC_0249,naming_inconsistency,IfcWall,low,True,Multiple IfcWall entities share name 'Wall_001',Set Name to 'Wall_857',"All elements need unique, meaningful names for schedules and coordination."
SC_0250,missing_property,IfcColumn,low,True,IfcColumn is missing 'Reference' in Pset_ColumnCommon,Add property 'Reference' with default value to Pset_ColumnCommon,Reference is required by IFC schema for IfcColumn. A safe default is applied.
SC_0251,missing_material,IfcRoof,medium,False,IfcRoof has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0252,missing_property,IfcSlab,low,True,IfcSlab is missing 'Combustible' in Pset_SlabCommon,Add property 'Combustible' with default value to Pset_SlabCommon,Combustible is required by IFC schema for IfcSlab. A safe default is applied.
SC_0253,missing_material,IfcRoof,medium,False,IfcRoof has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Timber),Material needed for quantity takeoff and analysis. Suggested: Timber.
SC_0254,geometry_clash,IfcWall,medium,False,Bounding-box clash between IfcWall 'Wall_054' and IfcWall 'Wall_652' (overlap 0.13m),Flag clash for manual resolution between Wall_054 and Wall_652,IfcWall-IfcWall intersection detected. Requires design review.
SC_0255,broken_spatial_containment,IfcRailing,high,True,IfcRailing 'Railing_831' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 01',Every physical element must be spatially contained for coordination.
SC_0256,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Office' assigned to 'Level 03' but elevation matches 'Mezzanine',Reassign space from 'Level 03' to 'Mezzanine' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0257,broken_spatial_containment,IfcRailing,high,True,IfcRailing 'Railing_791' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 1',Every physical element must be spatially contained for coordination.
SC_0258,missing_property,IfcStair,low,True,IfcStair is missing 'NumberOfTreads' in Pset_StairCommon,Add property 'NumberOfTreads' with default value to Pset_StairCommon,NumberOfTreads is required by IFC schema for IfcStair. A safe default is applied.
SC_0259,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Plant Room' assigned to 'Level 05' but elevation matches 'Level 03',Reassign space from 'Level 05' to 'Level 03' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0260,naming_inconsistency,IfcColumn,low,True,IfcColumn has empty Name attribute,Set Name to 'Column_707',"All elements need unique, meaningful names for schedules and coordination."
SC_0261,missing_property,IfcWall,high,True,IfcWall is missing 'LoadBearing' in Pset_WallCommon,Add property 'LoadBearing' with default value to Pset_WallCommon,LoadBearing is required by IFC schema for IfcWall. A safe default is applied.
SC_0262,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Parking' assigned to 'Level 03' but elevation matches 'Basement 2',Reassign space from 'Level 03' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0263,geometry_clash,IfcWindow,high,False,Bounding-box clash between IfcWindow 'Window_285' and IfcColumn 'Column_586' (overlap 0.14m),Flag clash for manual resolution between Window_285 and Column_586,IfcWindow-IfcColumn intersection detected. Requires design review.
SC_0264,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Mechanical Room' assigned to 'Level 01' but elevation matches 'Level 02',Reassign space from 'Level 01' to 'Level 02' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0265,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Penthouse' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0266,missing_property,IfcSlab,low,True,IfcSlab is missing 'Reference' in Pset_SlabCommon,Add property 'Reference' with default value to Pset_SlabCommon,Reference is required by IFC schema for IfcSlab. A safe default is applied.
SC_0267,naming_inconsistency,IfcRailing,low,True,Multiple IfcRailing entities share name 'Railing_001',Set Name to 'Railing_017',"All elements need unique, meaningful names for schedules and coordination."
SC_0268,missing_property,IfcWall,low,True,IfcWall is missing 'Reference' in Pset_WallCommon,Add property 'Reference' with default value to Pset_WallCommon,Reference is required by IFC schema for IfcWall. A safe default is applied.
SC_0269,broken_spatial_containment,IfcDoor,high,True,IfcDoor 'Door_514' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0270,wrong_level_assignment,IfcDoor,medium,False,IfcDoor 'Door_070' at z=0.0m assigned to 'Level 01' instead of 'Basement 2',Reassign from 'Level 01' to 'Basement 2',Element placement doesn't match assigned storey elevation.
SC_0271,broken_spatial_containment,IfcStair,high,True,IfcStair 'Stair_049' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0272,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Aluminium),Material needed for quantity takeoff and analysis. Suggested: Aluminium.
SC_0273,geometry_clash,IfcDoor,medium,False,Bounding-box clash between IfcDoor 'Door_215' and IfcWall 'Wall_806' (overlap 0.21m),Flag clash for manual resolution between Door_215 and Wall_806,IfcDoor-IfcWall intersection detected. Requires design review.
SC_0274,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0275,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Corridor' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
