case_id,split,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0129,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Plant Room' assigned to 'Ground Floor' but elevation matches 'Level 04',Reassign space from 'Ground Floor' to 'Level 04' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0130,train,missing_property,IfcSlab,low,True,IfcSlab is missing 'AcousticRating' in Pset_SlabCommon,Add property 'AcousticRating' with default value to Pset_SlabCommon,AcousticRating is required by IFC schema for IfcSlab. A safe default is applied.
SC_0131,train,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0132,train,naming_inconsistency,IfcRoof,low,True,IfcRoof has empty Name attribute,Set Name to 'Roof_894',"All elements need unique, meaningful names for schedules and coordination."
SC_0133,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_276' and IfcSpace 'Space_747' (overlap 0.64m),Resolve space boundary overlap (split at x=-3.47),Spaces share overlapping volume. Splitting along centerline.
SC_0134,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_178' and IfcSpace 'Space_198' (overlap 0.42m),Resolve space boundary overlap (split at x=-4.27),Spaces share overlapping volume. Splitting along centerline.
SC_0135,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Kitchen' not aggregated into any storey,Aggregate space into storey 'Penthouse',Spaces must belong to a storey for room-based analysis.
SC_0136,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_133' and IfcWall 'Wall_106' (overlap 0.02m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0137,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_010' and IfcBeam 'Beam_486' (overlap 0.34m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0138,train,missing_property,IfcRoof,low,True,IfcRoof is missing 'ThermalTransmittance' in Pset_RoofCommon,Add property 'ThermalTransmittance' with default value to Pset_RoofCommon,ThermalTransmittance is required by IFC schema for IfcRoof. A safe default is applied.
SC_0139,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_865' and IfcSpace 'Space_119' (overlap 0.53m),Resolve space boundary overlap (split at x=4.95),Spaces share overlapping volume. Splitting along centerline.
SC_0140,train,invalid_reference,IfcStair,low,True,IfcStair has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0141,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_327' and IfcColumn 'Column_069' (overlap 0.3m),Adjust wall length to abut column face (adjusted length by -0.3m),Wall should stop at structural column face. Shortening wall geometry.
SC_0142,train,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_636' at z=12.0m assigned to 'Level 03' instead of 'Level 02',Reassign from 'Level 03' to 'Level 02',Element placement doesn't match assigned storey elevation.
SC_0143,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_852' and IfcColumn 'Column_964' (overlap 0.2m),Adjust wall length to abut column face (adjusted length by -0.2m),Wall should stop at structural column face. Shortening wall geometry.
SC_0144,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Office' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0145,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Elevator Shaft' assigned to 'Basement 1' but elevation matches 'Basement 2',Reassign space from 'Basement 1' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0146,train,missing_property,IfcWindow,low,True,IfcWindow is missing 'AcousticRating' in Pset_WindowCommon,Add property 'AcousticRating' with default value to Pset_WindowCommon,AcousticRating is required by IFC schema for IfcWindow. A safe default is applied.
SC_0147,train,broken_spatial_containment,IfcWindow,high,True,IfcWindow 'Window_131' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Penthouse',Every physical element must be spatially contained for coordination.
SC_0148,train,broken_spatial_containment,IfcRailing,high,True,IfcRailing 'Railing_659' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0149,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Plant Room' not aggregated into any storey,Aggregate space into storey 'Level 04',Spaces must belong to a storey for room-based analysis.
SC_0150,train,missing_property,IfcWindow,low,True,IfcWindow is missing 'ThermalTransmittance' in Pset_WindowCommon,Add property 'ThermalTransmittance' with default value to Pset_WindowCommon,ThermalTransmittance is required by IFC schema for IfcWindow. A safe default is applied.
SC_0151,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_856' and IfcWall 'Wall_588' (overlap 0.01m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0152,train,invalid_reference,IfcBeam,medium,False,IfcBeam references a IfcBeamType that does not exist in the model,Remove broken type reference or create missing IfcBeamType,Orphan type references break downstream tools.
SC_0153,train,missing_property,IfcCurtainWall,low,True,IfcCurtainWall is missing 'ThermalTransmittance' in Pset_CurtainWallCommon,Add property 'ThermalTransmittance' with default value to Pset_CurtainWallCommon,ThermalTransmittance is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0154,train,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Aluminium),Material needed for quantity takeoff and analysis. Suggested: Aluminium.
SC_0155,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_970' and IfcBeam 'Beam_697' (overlap 0.23m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0156,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_791' and IfcColumn 'Column_696' (overlap 0.22m),Adjust wall length to abut column face (adjusted length by -0.22m),Wall should stop at structural column face. Shortening wall geometry.
SC_0157,train,naming_inconsistency,IfcSpace,medium,True,IfcSpace has empty Name attribute,Set Name to 'Space_526',"All elements need unique, meaningful names for schedules and coordination."
SC_0158,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_262' and IfcColumn 'Column_792' (overlap 0.11m),Create slab void around column profile (void size: 2.0x5.53m),Slab must flow around structural columns. Void geometry generated.
SC_0159,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_526' and IfcDoor 'Door_051' (overlap 0.47m),Align door frame with wall opening (snapped +0.47m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0160,train,naming_inconsistency,IfcSpace,medium,True,Multiple IfcSpace entities share name 'Space_001',Set Name to 'Space_150',"All elements need unique, meaningful names for schedules and coordination."
SC_0161,train,invalid_reference,IfcCurtainWall,low,True,IfcCurtainWall has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0162,train,invalid_reference,IfcSlab,medium,False,IfcSlab references a IfcSlabType that does not exist in the model,Remove broken type reference or create missing IfcSlabType,Orphan type references break downstream tools.
SC_0163,train,invalid_reference,IfcSlab,low,True,IfcSlab has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0164,train,missing_property,IfcWall,medium,True,IfcWall is missing 'IsExternal' in Pset_WallCommon,Add property 'IsExternal' with default value to Pset_WallCommon,IsExternal is required by IFC schema for IfcWall. A safe default is applied.
SC_0165,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_672' and IfcBeam 'Beam_510' (overlap 0.31m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0166,train,naming_inconsistency,IfcFooting,low,True,IfcFooting has None Name attribute,Set Name to 'Footing_606',"All elements need unique, meaningful names for schedules and coordination."
SC_0167,train,naming_inconsistency,IfcRailing,low,True,Multiple IfcRailing entities share name 'Railing_001',Set Name to 'Railing_017',"All elements need unique, meaningful names for schedules and coordination."
SC_0168,train,broken_spatial_containment,IfcColumn,high,True,IfcColumn 'Column_135' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0169,train,broken_spatial_containment,IfcBeam,high,True,IfcBeam 'Beam_460' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 05',Every physical element must be spatially contained for coordination.
SC_0170,train,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_977' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0171,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Loading Dock' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0172,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_592' and IfcColumn 'Column_105' (overlap 0.3m),Adjust wall length to abut column face (adjusted length by -0.3m),Wall should stop at structural column face. Shortening wall geometry.
SC_0173,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Mechanical Room' assigned to 'Mezzanine' but elevation matches 'Ground Floor',Reassign space from 'Mezzanine' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0174,train,missing_property,IfcFooting,high,True,IfcFooting is missing 'LoadBearing' in Pset_FootingCommon,Add property 'LoadBearing' with default value to Pset_FootingCommon,LoadBearing is required by IFC schema for IfcFooting. A safe default is applied.
SC_0175,train,geometry_clash,IfcSpace,high,True,Overlap clash between IfcSpace 'Space_271' and IfcSpace 'Space_393' (overlap 0.57m),Resolve space boundary overlap (split at x=-2.85),Spaces share overlapping volume. Splitting along centerline.
SC_0176,train,invalid_reference,IfcWall,medium,False,IfcWall references a IfcWallType that does not exist in the model,Remove broken type reference or create missing IfcWallType,Orphan type references break downstream tools.
SC_0177,train,naming_inconsistency,IfcWindow,low,True,IfcWindow has None Name attribute,Set Name to 'Window_587',"All elements need unique, meaningful names for schedules and coordination."
SC_0178,train,missing_material,IfcRoof,medium,False,IfcRoof has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Timber),Material needed for quantity takeoff and analysis. Suggested: Timber.
SC_0179,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_171' and IfcColumn 'Column_502' (overlap 0.77m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0180,train,naming_inconsistency,IfcWall,low,True,IfcWall has None Name attribute,Set Name to 'Wall_039',"All elements need unique, meaningful names for schedules and coordination."
SC_0181,train,missing_material,IfcPlate,medium,False,IfcPlate has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Steel),Material needed for quantity takeoff and analysis. Suggested: Steel.
SC_0182,train,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_383' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0183,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_494' and IfcBeam 'Beam_066' (overlap 0.39m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0184,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_070' and IfcBeam 'Beam_015' (overlap 0.29m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0185,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Bathroom' assigned to 'Basement 1' but elevation matches 'Level 01',Reassign space from 'Basement 1' to 'Level 01' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0186,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_792' and IfcColumn 'Column_795' (overlap 0.22m),Create slab void around column profile (void size: 2.0x7.42m),Slab must flow around structural columns. Void geometry generated.
SC_0187,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_454' and IfcBeam 'Beam_881' (overlap 0.21m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0188,train,broken_spatial_containment,IfcWall,high,True,IfcWall 'Wall_982' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 03',Every physical element must be spatially contained for coordination.
SC_0189,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_897' and IfcBeam 'Beam_309' (overlap 0.34m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0190,train,missing_material,IfcMember,medium,False,IfcMember has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Precast Concrete),Material needed for quantity takeoff and analysis. Suggested: Precast Concrete.
SC_0191,train,naming_inconsistency,IfcWall,low,True,IfcWall has empty Name attribute,Set Name to 'Wall_930',"All elements need unique, meaningful names for schedules and coordination."
SC_0192,train,missing_property,IfcWindow,medium,True,IfcWindow is missing 'FireRating' in Pset_WindowCommon,Add property 'FireRating' with default value to Pset_WindowCommon,FireRating is required by IFC schema for IfcWindow. A safe default is applied.
SC_0193,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_393' and IfcDoor 'Door_141' (overlap 0.53m),Align door frame with wall opening (snapped +0.53m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0194,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Elevator Shaft' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0195,train,naming_inconsistency,IfcStair,low,True,Multiple IfcStair entities share name 'Stair_001',Set Name to 'Stair_431',"All elements need unique, meaningful names for schedules and coordination."
SC_0196,train,missing_property,IfcSlab,medium,True,IfcSlab is missing 'FireRating' in Pset_SlabCommon,Add property 'FireRating' with default value to Pset_SlabCommon,FireRating is required by IFC schema for IfcSlab. A safe default is applied.
SC_0197,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_077' and IfcWall 'Wall_770' (overlap 0.59m),Snap window to host wall face (snapped +0.59m),Window placement offset from host wall. Snapping to align.
SC_0198,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_550' and IfcColumn 'Column_335' (overlap 0.31m),Create slab void around column profile (void size: 2.0x5.88m),Slab must flow around structural columns. Void geometry generated.
SC_0199,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_914' and IfcWall 'Wall_330' (overlap 0.02m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0200,train,wrong_level_assignment,IfcColumn,medium,False,IfcColumn 'Column_907' at z=0.0m assigned to 'Level 01' instead of 'Basement 2',Reassign from 'Level 01' to 'Basement 2',Element placement doesn't match assigned storey elevation.
SC_0201,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_860' and IfcWall 'Wall_847' (overlap 0.71m),Snap window to host wall face (snapped +0.71m),Window placement offset from host wall. Snapping to align.
SC_0202,train,missing_property,IfcStair,low,True,IfcStair is missing 'NumberOfRiser' in Pset_StairCommon,Add property 'NumberOfRiser' with default value to Pset_StairCommon,NumberOfRiser is required by IFC schema for IfcStair. A safe default is applied.
SC_0203,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Parking' assigned to 'Level 03' but elevation matches 'Basement 2',Reassign space from 'Level 03' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0204,train,naming_inconsistency,IfcRoof,low,True,Multiple IfcRoof entities share name 'Roof_001',Set Name to 'Roof_590',"All elements need unique, meaningful names for schedules and coordination."
SC_0205,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_532' and IfcWall 'Wall_536' (overlap 0.6m),Snap window to host wall face (snapped +0.6m),Window placement offset from host wall. Snapping to align.
SC_0206,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_905' and IfcDoor 'Door_153' (overlap 0.53m),Align door frame with wall opening (snapped +0.53m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0207,train,missing_property,IfcRailing,low,True,IfcRailing is missing 'Reference' in Pset_RailingCommon,Add property 'Reference' with default value to Pset_RailingCommon,Reference is required by IFC schema for IfcRailing. A safe default is applied.
SC_0208,train,missing_property,IfcSlab,low,True,IfcSlab is missing 'PitchAngle' in Pset_SlabCommon,Add property 'PitchAngle' with default value to Pset_SlabCommon,PitchAngle is required by IFC schema for IfcSlab. A safe default is applied.
SC_0209,train,missing_property,IfcRoof,medium,True,IfcRoof is missing 'IsExternal' in Pset_RoofCommon,Add property 'IsExternal' with default value to Pset_RoofCommon,IsExternal is required by IFC schema for IfcRoof. A safe default is applied.
SC_0210,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Corridor' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0211,train,naming_inconsistency,IfcColumn,low,True,Multiple IfcColumn entities share name 'Column_001',Set Name to 'Column_935',"All elements need unique, meaningful names for schedules and coordination."
SC_0212,train,missing_property,IfcRamp,medium,True,IfcRamp is missing 'IsExternal' in Pset_RampCommon,Add property 'IsExternal' with default value to Pset_RampCommon,IsExternal is required by IFC schema for IfcRamp. A safe default is applied.
SC_0213,train,missing_property,IfcSlab,medium,True,IfcSlab is missing 'IsExternal' in Pset_SlabCommon,Add property 'IsExternal' with default value to Pset_SlabCommon,IsExternal is required by IFC schema for IfcSlab. A safe default is applied.
SC_0214,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_988' and IfcWall 'Wall_820' (overlap 0.28m),Snap window to host wall face (snapped +0.28m),Window placement offset from host wall. Snapping to align.
SC_0215,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Office' assigned to 'Roof Level' but elevation matches 'Level 05',Reassign space from 'Roof Level' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0216,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_835' and IfcColumn 'Column_394' (overlap 0.7m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0217,train,naming_inconsistency,IfcDoor,low,True,Multiple IfcDoor entities share name 'Door_001',Set Name to 'Door_411',"All elements need unique, meaningful names for schedules and coordination."
SC_0218,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_652' and IfcColumn 'Column_860' (overlap 0.32m),Create slab void around column profile (void size: 2.0x2.26m),Slab must flow around structural columns. Void geometry generated.
SC_0219,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_544' and IfcBeam 'Beam_577' (overlap 0.15m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0220,train,naming_inconsistency,IfcPlate,low,True,IfcPlate has None Name attribute,Set Name to 'Plate_387',"All elements need unique, meaningful names for schedules and coordination."
SC_0221,train,geometry_clash,IfcPipeSegment,medium,True,Near-miss clash between IfcPipeSegment 'PipeSegment_020' and IfcWall 'Wall_234' (overlap 0.01m),Enlarge wall opening for pipe clearance (expanded by 50mm),Pipe lacks sufficient clearance. Opening expanded by 50mm.
SC_0222,train,missing_property,IfcCurtainWall,medium,True,IfcCurtainWall is missing 'FireRating' in Pset_CurtainWallCommon,Add property 'FireRating' with default value to Pset_CurtainWallCommon,FireRating is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0223,train,missing_property,IfcBeam,medium,True,IfcBeam is missing 'FireRating' in Pset_BeamCommon,Add property 'FireRating' with default value to Pset_BeamCommon,FireRating is required by IFC schema for IfcBeam. A safe default is applied.
SC_0224,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 03' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0225,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_397' and IfcBeam 'Beam_882' (overlap 0.4m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0226,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Stairwell' assigned to 'Basement 2' but elevation matches 'Level 05',Reassign space from 'Basement 2' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0227,train,naming_inconsistency,IfcColumn,low,True,IfcColumn has None Name attribute,Set Name to 'Column_137',"All elements need unique, meaningful names for schedules and coordination."
SC_0228,train,missing_property,IfcBeam,low,True,IfcBeam is missing 'Slope' in Pset_BeamCommon,Add property 'Slope' with default value to Pset_BeamCommon,Slope is required by IFC schema for IfcBeam. A safe default is applied.
SC_0229,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Loading Dock' assigned to 'Level 02' but elevation matches 'Level 05',Reassign space from 'Level 02' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0230,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Plant Room' assigned to 'Level 05' but elevation matches 'Level 03',Reassign space from 'Level 05' to 'Level 03' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0231,train,naming_inconsistency,IfcRamp,low,True,Multiple IfcRamp entities share name 'Ramp_001',Set Name to 'Ramp_775',"All elements need unique, meaningful names for schedules and coordination."
SC_0232,train,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_560' at z=15.0m assigned to 'Mezzanine' instead of 'Level 03',Reassign from 'Mezzanine' to 'Level 03',Element placement doesn't match assigned storey elevation.
SC_0233,train,missing_property,IfcRoof,low,True,IfcRoof is missing 'Reference' in Pset_RoofCommon,Add property 'Reference' with default value to Pset_RoofCommon,Reference is required by IFC schema for IfcRoof. A safe default is applied.
SC_0234,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_579' and IfcColumn 'Column_032' (overlap 0.67m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0235,train,geometry_clash,IfcWall,high,False,Overlap clash between IfcWall 'Wall_814' and IfcColumn 'Column_902' (overlap 0.47m),Flag for structural review,Major overlap detected between wall and column. Needs engineer review.
SC_0236,train,missing_material,IfcBeam,medium,False,IfcBeam has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Concrete),Material needed for quantity takeoff and analysis. Suggested: Concrete.
SC_0237,train,missing_material,IfcFooting,medium,False,IfcFooting has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Timber),Material needed for quantity takeoff and analysis. Suggested: Timber.
SC_0238,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_048' and IfcColumn 'Column_484' (overlap 0.34m),Create slab void around column profile (void size: 2.0x7.54m),Slab must flow around structural columns. Void geometry generated.
SC_0239,train,invalid_reference,IfcCurtainWall,medium,False,IfcCurtainWall references a IfcCurtainWallType that does not exist in the model,Remove broken type reference or create missing IfcCurtainWallType,Orphan type references break downstream tools.
SC_0240,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Stairwell' not aggregated into any storey,Aggregate space into storey 'Level 05',Spaces must belong to a storey for room-based analysis.
SC_0241,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_184' and IfcColumn 'Column_229' (overlap 0.18m),Create slab void around column profile (void size: 2.0x7.89m),Slab must flow around structural columns. Void geometry generated.
SC_0242,train,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Roof Level' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0243,train,geometry_clash,IfcSlab,critical,True,Hard clash between IfcSlab 'Slab_089' and IfcColumn 'Column_567' (overlap 0.17m),Create slab void around column profile (void size: 2.0x4.34m),Slab must flow around structural columns. Void geometry generated.
SC_0244,train,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_361' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Roof Level',Every physical element must be spatially contained for coordination.
SC_0245,train,geometry_clash,IfcWall,critical,False,Hard clash between IfcWall 'Wall_408' and IfcBeam 'Beam_224' (overlap 0.26m),Cut opening in wall for beam penetration,Beam intersects wall. Opening profile required but needs MEP/Structural coordination.
SC_0246,train,naming_inconsistency,IfcDoor,low,True,IfcDoor has None Name attribute,Set Name to 'Door_180',"All elements need unique, meaningful names for schedules and coordination."
SC_0247,train,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Server Room' not aggregated into any storey,Aggregate space into storey 'Ground Floor',Spaces must belong to a storey for room-based analysis.
SC_0248,train,naming_inconsistency,IfcBeam,low,True,Multiple IfcBeam entities share name 'Beam_001',Set Name to 'Beam_154',"All elements need unique, meaningful names for schedules and coordination."
SC_0249,train,geometry_clash,IfcDuctSegment,critical,False,Hard clash between IfcDuctSegment 'DuctSegment_601' and IfcBeam 'Beam_565' (overlap 0.19m),Reroute duct below structural beam,MEP element clashes with structural frame. Needs rerouting.
SC_0250,train,missing_property,IfcRamp,low,True,IfcRamp is missing 'Reference' in Pset_RampCommon,Add property 'Reference' with default value to Pset_RampCommon,Reference is required by IFC schema for IfcRamp. A safe default is applied.
SC_0251,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_109' and IfcColumn 'Column_011' (overlap 0.17m),Adjust wall length to abut column face (adjusted length by -0.17m),Wall should stop at structural column face. Shortening wall geometry.
SC_0252,train,broken_spatial_containment,IfcCurtainWall,high,True,IfcCurtainWall 'CurtainWall_568' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Level 02',Every physical element must be spatially contained for coordination.
SC_0253,train,geometry_clash,IfcWall,critical,True,Hard clash between IfcWall 'Wall_733' and IfcColumn 'Column_434' (overlap 0.25m),Adjust wall length to abut column face (adjusted length by -0.25m),Wall should stop at structural column face. Shortening wall geometry.
SC_0254,train,invalid_reference,IfcBeam,low,True,IfcBeam has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0255,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Elevator Shaft' assigned to 'Level 05' but elevation matches 'Roof Level',Reassign space from 'Level 05' to 'Roof Level' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0256,train,missing_material,IfcBeam,medium,False,IfcBeam has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0257,train,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Lobby' assigned to 'Basement 1' but elevation matches 'Level 02',Reassign space from 'Basement 1' to 'Level 02' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0258,train,missing_property,IfcDoor,medium,True,IfcDoor is missing 'IsExternal' in Pset_DoorCommon,Add property 'IsExternal' with default value to Pset_DoorCommon,IsExternal is required by IFC schema for IfcDoor. A safe default is applied.
SC_0259,train,geometry_clash,IfcWall,medium,True,Misaligned clash between IfcWall 'Wall_936' and IfcDoor 'Door_606' (overlap 0.31m),Align door frame with wall opening (snapped +0.31m),Door geometry extends beyond wall thickness. Snapping to opening plane.
SC_0260,train,geometry_clash,IfcWindow,medium,True,Misaligned clash between IfcWindow 'Window_707' and IfcWall 'Wall_872' (overlap 0.64m),Snap window to host wall face (snapped +0.64m),Window placement offset from host wall. Snapping to align.
